Feature,Importance
Clicks,0.56119690874177
Spend,0.28124567208457557
Impressions,0.07530824226972871
Day,0.02046474695631254
Week,0.01903168229050406
DayOfWeek,0.013316585951581111
campaign_budget,0.012793833478694151
Month,0.005122736393001762
Year,0.004630005595598105
CampaignType_SHOPPING,0.0027608548263838933
CampaignType_PERFORMANCEMAX,0.0021913237647716343
CampaignType_SEARCH,0.0009637146608500333
Source_Google,0.0007297844634788086
CampaignType_DEMAND_GEN,0.00019129289404959642
CampaignType_VIDEO,5.259939949813788e-05
CampaignType_DISPLAY,1.6229201901764177e-08
